2019-04-09 11:09:31,749 | DEBUG | DefaultCamelContext.java 3297 | Using ClassResolver=org.apache.camel.impl.DefaultClassResolver@73ee04c8, PackageScanClassResolver=org.apache.camel.impl.DefaultPackageScanClassResolver@7671cb68, ApplicationContextClassLoader=null, RouteController=org.apache.camel.impl.DefaultRouteController@49dc7102
2019-04-09 11:09:31,751 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:09:31,816 | DEBUG | DefaultManagementAgent.java 397 | Starting JMX agent on server: com.sun.jmx.mbeanserver.JmxMBeanServer@3a44431a
2019-04-09 11:09:31,884 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=context,name="camel-1"
2019-04-09 11:09:31,885 | DEBUG | TimerListenerManager.java 115 | Added TimerListener: org.apache.camel.management.mbean.ManagedCamelContext@78a773fd
2019-04-09 11:09:31,885 | DEBUG | DefaultManagementLifecycleStrategy.java 282 | Registering 1 pre registered services
2019-04-09 11:09:31,894 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=components,name="activemq"
2019-04-09 11:09:31,895 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=health,name="camel-1"
2019-04-09 11:09:31,896 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=routecontrollers,name="camel-1"
2019-04-09 11:09:31,936 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultTypeConverter
2019-04-09 11:09:31,943 | DEBUG | AnnotationTypeConverterLoader.java 122 | Found 3 packages with 19 @Converter classes to load
2019-04-09 11:09:31,966 | DEBUG | AnnotationTypeConverterLoader.java 219 | Loading file META-INF/services/org/apache/camel/TypeConverter to retrieve list of packages, from url: jar:file:/C:/Users/furqanbaqai/.m2/repository/org/apache/camel/camel-core/2.23.1/camel-core-2.23.1.jar!/META-INF/services/org/apache/camel/TypeConverter
2019-04-09 11:09:31,968 | DEBUG | AnnotationTypeConverterLoader.java 219 | Loading file META-INF/services/org/apache/camel/TypeConverter to retrieve list of packages, from url: jar:file:/C:/Users/furqanbaqai/.m2/repository/org/apache/camel/camel-spring/2.23.1/camel-spring-2.23.1.jar!/META-INF/services/org/apache/camel/TypeConverter
2019-04-09 11:09:31,968 | DEBUG | AnnotationTypeConverterLoader.java 219 | Loading file META-INF/services/org/apache/camel/TypeConverter to retrieve list of packages, from url: jar:file:/C:/Users/furqanbaqai/.m2/repository/org/apache/activemq/activemq-camel/5.6.0/activemq-camel-5.6.0.jar!/META-INF/services/org/apache/camel/TypeConverter
2019-04-09 11:09:31,972 | DEBUG | AnnotationTypeConverterLoader.java 112 | Loaded 3 @Converter classes
2019-04-09 11:09:31,978 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:09:31,979 | DEBUG | ResolverHelper.java 143 | Lookup Language with name simple in registry. Found: null
2019-04-09 11:09:31,980 | DEBUG | ResolverHelper.java 143 | Lookup Language with name simple-language in registry. Found: null
2019-04-09 11:09:31,985 | DEBUG | SimpleLanguage.java 127 | Simple language predicate/expression cache size: 1000
2019-04-09 11:09:31,989 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultEndpointRegistry
2019-04-09 11:09:31,991 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultExecutorServiceManager
2019-04-09 11:09:31,991 | DEBUG | DefaultServicePool.java 106 | Starting service pool: org.apache.camel.impl.SharedProducerServicePool@4b14918a
2019-04-09 11:09:31,991 | DEBUG | DefaultServicePool.java 106 | Starting service pool: org.apache.camel.impl.SharedPollingConsumerServicePool@6d1ef78d
2019-04-09 11:09:31,994 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultInflightRepository
2019-04-09 11:09:31,998 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultAsyncProcessorAwaitManager
2019-04-09 11:09:31,999 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultShutdownStrategy
2019-04-09 11:09:32,001 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultRestRegistry
2019-04-09 11:09:32,005 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultRuntimeCamelCatalog
2019-04-09 11:09:32,008 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultTransformerRegistry
2019-04-09 11:09:32,012 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=services,name=DefaultValidatorRegistry
2019-04-09 11:09:32,020 | DEBUG | DefaultComponent.java 124 | Creating endpoint uri=[activemq://JMS.SAMPLE.REQ], path=[JMS.SAMPLE.REQ]
2019-04-09 11:09:32,025 | DEBUG | DefaultCamelContext.java 710 | activemq://JMS.SAMPLE.REQ converted to endpoint: activemq://JMS.SAMPLE.REQ by component: org.apache.activemq.camel.component.ActiveMQComponent@30b19518
2019-04-09 11:09:32,045 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=endpoints,name="activemq://JMS.SAMPLE.REQ"
